date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:16:08	4241/4241	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225ecbaba0-1091%22	https://demo.dashboardpack.com/architectui-html-pro/assets/fonts/KY.svg	C:/Users/User/Downloads/davlab/demo.dashboardpack.com/architectui-html-pro/assets/fonts/KY.svg	(from https://demo.dashboardpack.com/architectui-html-pro/main.d810cf0ae7f39f28f336.css)
16:16:08	5460/5460	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225ecbaba0-1554%22	https://demo.dashboardpack.com/architectui-html-pro/assets/fonts/KZ.svg	C:/Users/User/Downloads/davlab/demo.dashboardpack.com/architectui-html-pro/assets/fonts/KZ.svg	(from https://demo.dashboardpack.com/architectui-html-pro/main.d810cf0ae7f39f28f336.css)
16:16:08	1715/1715	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225ecbaba0-6b3%22	https://demo.dashboardpack.com/architectui-html-pro/assets/fonts/LA.svg	C:/Users/User/Downloads/davlab/demo.dashboardpack.com/architectui-html-pro/assets/fonts/LA.svg	(from https://demo.dashboardpack.com/architectui-html-pro/main.d810cf0ae7f39f28f336.css)
16:16:09	3230/3230	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225ecbaba0-c9e%22	https://demo.dashboardpack.com/architectui-html-pro/assets/fonts/LB.svg	C:/Users/User/Downloads/davlab/demo.dashboardpack.com/architectui-html-pro/assets/fonts/LB.svg	(from https://demo.dashboardpack.com/architectui-html-pro/main.d810cf0ae7f39f28f336.css)
16:16:09	1945/1945	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225ecbaba0-799%22	https://demo.dashboardpack.com/architectui-html-pro/assets/fonts/LC.svg	C:/Users/User/Downloads/davlab/demo.dashboardpack.com/architectui-html-pro/assets/fonts/LC.svg	(from https://demo.dashboardpack.com/architectui-html-pro/main.d810cf0ae7f39f28f336.css)
16:16:09	2511/2511	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225ecbaba0-9cf%22	https://demo.dashboardpack.com/architectui-html-pro/assets/fonts/LGBT.svg	C:/Users/User/Downloads/davlab/demo.dashboardpack.com/architectui-html-pro/assets/fonts/LGBT.svg	(from https://demo.dashboardpack.com/architectui-html-pro/main.d810cf0ae7f39f28f336.css)
16:16:10	1500/1500	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225ecbaba0-5dc%22	https://demo.dashboardpack.com/architectui-html-pro/assets/fonts/LI.svg	C:/Users/User/Downloads/davlab/demo.dashboardpack.com/architectui-html-pro/assets/fonts/LI.svg	(from https://demo.dashboardpack.com/architectui-html-pro/main.d810cf0ae7f39f28f336.css)
16:16:10	6222/6222	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225ecbaba0-184e%22	https://demo.dashboardpack.com/architectui-html-pro/assets/fonts/LK.svg	C:/Users/User/Downloads/davlab/demo.dashboardpack.com/architectui-html-pro/assets/fonts/LK.svg	(from https://demo.dashboardpack.com/architectui-html-pro/main.d810cf0ae7f39f28f336.css)
16:16:10	2461/2461	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225ecbaba0-99d%22	https://demo.dashboardpack.com/architectui-html-pro/assets/fonts/LR.svg	C:/Users/User/Downloads/davlab/demo.dashboardpack.com/architectui-html-pro/assets/fonts/LR.svg	(from https://demo.dashboardpack.com/architectui-html-pro/main.d810cf0ae7f39f28f336.css)
16:16:10	2716/2716	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225ecbaba0-a9c%22	https://demo.dashboardpack.com/architectui-html-pro/assets/fonts/LS.svg	C:/Users/User/Downloads/davlab/demo.dashboardpack.com/architectui-html-pro/assets/fonts/LS.svg	(from https://demo.dashboardpack.com/architectui-html-pro/main.d810cf0ae7f39f28f336.css)
